pub_date	title	venue	author	excerpt	citation	paper_url	download_url
2022-01-01	Three Network Design Problems for Community Energy Storage		B. Ghaddar, I. Ljubić, Y. Qiu				
2022-01-01	Benders Adaptive-Cuts Method for Two-Stage Stochastic Programs		C. Ramirez-Pico, I. Ljubić, E. Moreno			https://arxiv.org/abs/2203.00752	
2022-01-01	The impact of passive social media users in (competitive) influence maximization		M. Kahr, M. Leitner, I. Ljubić			http://www.optimization-online.org/DB_HTML/2022/01/8777.html	
2021-01-01	An Exact Method for Fortification Games		M. Leitner, I. Ljubić, M. Monaci, M. Sinnl, K. Taninmis			https://arxiv.org/abs/2111.13400	
2021-01-01	Freight-on-Transit for urban last-mile deliveries: A Strategic Planning Approach		D. Delle Donne, L. Alfandari, C. Archetti, I. Ljubić			http://www.optimization-online.org/DB_HTML/2021/11/8693.html	
2021-01-01	Exact Methods for Discrete Gamma-Robust Min-Max Problems		Y. Beck, I. Ljubić, M. Schmidt			http://www.optimization-online.org/DB_HTML/2021/11/8678.html	
2021-01-01	New IP-based lower bounds for small Ramsey numbers using circulant graphs		F. Furini, I. Ljubić, P. San Segundo			http://www.optimization-online.org/DB_FILE/2021/09/8578.pdf	
2021-01-01	Two extended formulations for the Virtual Network Function Placement and Routing Problem		A. Mouaci, I. Ljubić, E. Gourdin, N. Perrot				
2020-01-01	Maximizing submodular utility functions combined with a set-union operator over a discrete set		S. Coniglio, F. Furini, I. Ljubić			http://www.optimization-online.org/DB_FILE/2020/04/7715.pdf	
